id,block_name,week_start_date,week_number,day_number,workout_date,exercise_name,record_type,sets,reps,load,load_instruction,rpe,notes,processed_at
Block1_HighbarSquats_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Highbar Squats,prescribed,3,up to RPE,,305,7,,2025-07-02T06:05:30.610654400+00:00
Block1_HighbarSquats_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Highbar Squats,actual,3,6,305,,7,Been long time since I did highbar squats. Prolly went deeper than I needed,2025-07-02T06:05:30.610660700+00:00
Block1_T&GBenchPress_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,T&G Bench Press,prescribed,1,2,,find,7,,2025-07-02T06:05:30.610664600+00:00
Block1_T&GBenchPress_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,T&G Bench Press,actual,1,2,275,,7,TNg felt fast.,2025-07-02T06:05:30.610667500+00:00
Block1_T&GBenchPress_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,T&G Bench Press,prescribed,3,8,,base on above,5.5,,2025-07-02T06:05:30.610670200+00:00
Block1_T&GBenchPress_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,T&G Bench Press,actual,3,8,215,,5,Used calc off 275 to get 215,2025-07-02T06:05:30.610672900+00:00
Block1_Pullups_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Pullups,prescribed,3,up to RPE,,bw,8,,2025-07-02T06:05:30.610677700+00:00
Block1_Pullups_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Pullups,actual,3,10,,,8,Got 12-10-10,2025-07-02T06:05:30.610680300+00:00
Block1_BulgarianSplitSquats_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Bulgarian Split Squats,prescribed,2,12-15,,,7,,2025-07-02T06:05:30.610683400+00:00
Block1_BulgarianSplitSquats_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Bulgarian Split Squats,actual,2,12,35,,,35lb in ea hand,2025-07-02T06:05:30.610686600+00:00
Block1_HangingLegRaises_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Hanging Leg Raises,prescribed,3,6-12,,,7,,2025-07-02T06:05:30.610689800+00:00
Block1_HangingLegRaises_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Hanging Leg Raises,actual,3,10,,,,,2025-07-02T06:05:30.610692600+00:00
Block1_1sPauseDeadlift_w1_d2_prescribed_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,1s Pause Deadlift,prescribed,3,5,,305,4-5,,2025-07-02T06:05:30.610700800+00:00
Block1_1sPauseDeadlift_w1_d2_actual_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,1s Pause Deadlift,actual,3,5,315,,5,Paused just below knee,2025-07-02T06:05:30.610703700+00:00
Block1_DBRDLs_w1_d2_prescribed_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,DB RDLs,prescribed,3,8-12,,,7,,2025-07-02T06:05:30.610706300+00:00
